Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Gradient Boosting,0.868,0.7739463601532567,0.4963144963144963,0.6047904191616766,0.8682850801494868
Random Forest,0.8395,0.5968468468468469,0.6511056511056511,0.6227967097532315,0.8656406792000011
XGBoost,0.804,0.5132743362831859,0.7125307125307125,0.5967078189300411,0.8567951618799077
Decision Tree,0.7565,0.4431818181818182,0.7665847665847666,0.5616561656165616,0.8228860601741957
Logistic Regression,0.7125,0.3867924528301887,0.7051597051597052,0.4995648389904265,0.7757958266432841
